FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,ARGENTINA
2020-03-03,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-04,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-06,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
2020-03-07,0.0,0.2,,,,0.0,,,,,,,,,,,,,,,,,,,,0.125
2020-03-08,0.0,0.14285714285714285,,,,0.0,,,,,,,,,,,,,,,,,,,,0.09090909090909091
2020-03-09,0.0,0.125,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.0625
2020-03-10,0.0,0.1111111111111111,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.05555555555555555
2020-03-11,0.0,0.1,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.05
2020-03-12,0.0,0.07692307692307693,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.03333333333333333
2020-03-13,0.0,0.08333333333333333,,0.3333333333333333,,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,0.06896551724137931
2020-03-14,0.0,0.05263157894736842,,0.25,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,,,,0.05
2020-03-15,0.0,0.04,,0.16666666666666666,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,0.0392156862745098
2020-03-16,0.0,0.03333333333333333,,0.1111111111111111,,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,0.03333333333333333
2020-03-17,0.0,0.029411764705882353,,0.1,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.02702702702702703
2020-03-18,0.0,0.046511627906976744,,0.09090909090909091,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.03296703296703297
