FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,ARGENTINA
2020-03-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0
2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-25,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-26,1.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0
2020-03-27,4.0,4.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,3.0
2020-03-28,,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,5.333333333333333
2020-03-29,5.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0
2020-03-30,3.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,5.0
2020-03-31,,,,4.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,8.0
2020-04-01,4.0,8.0,,,,,,,,,,,,,,,,,,,0.0,,,,,6.75
2020-04-02,5.0,,,5.0,,,,,,,,,0.5,,,,,,,,,,,,,6.2
2020-04-03,4.0,,,6.0,,,,,,,,,3.0,,,,,,,,,,,1.0,,6.0
2020-04-04,15.0,,,,,,,,,,,,,,,,,,,,,,,,,42.0
2020-04-05,16.0,9.0,,,,1.0,,,,,,,,,,,,,,,,,,,,14.333333333333334
2020-04-06,8.5,2.5,,,,,,,,,,,,,1.0,,,,,,,,,,,6.571428571428571
2020-04-07,4.75,7.0,,,,,,,,,,,4.0,,,,,,,,,,,,,7.571428571428571
2020-04-08,23.0,8.0,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,12.0
